academic_terms,original_string,new_string,domains,country
azerbaijan university of languages,azerbaijan university of languages,azerbaijan university of languages,adu.edu.az,Azerbaijan
baku academy of music,baku academy of music,baku academy of music,musicacademy.edu.az,Azerbaijan
baku business university,baku business university,baku business university,bbu.edu.az,Azerbaijan
baku slavic university,baku slavic university,baku slavic university,bsu-edu.org,Azerbaijan
baku state university,baku state university,baku state university,bsu.edu.az,Azerbaijan
ganja state university,ganja state university,ganja state university,gdu.edu.az,Azerbaijan
khazar university,khazar university,khazar university,khazar.org,Azerbaijan
lankaran state university,lankaran state university,lankaran state university,lsu.edu.az,Azerbaijan
mingechevir state university,mingechevir state university,mingechevir state university,mdu.edu.az,Azerbaijan
nakhchivan private university,nakhchivan private university,nakhchivan private university,az-npu.org,Azerbaijan
nakhchivan state university,nakhchivan state university,nakhchivan state university,ndu.edu.az,Azerbaijan
national aviation academy,national aviation academy,national aviation academy,naa.edu.az,Azerbaijan
odlar yurdu university,odlar yurdu university,odlar yurdu university,oyu.edu.az,Azerbaijan
police academy,police academy,police academy,pa.edu.az,Azerbaijan
qafqaz university,qafqaz university,qafqaz university,qu.edu.az,Azerbaijan
sumgait state university,sumgait state university,sumgait state university,sdu.edu.az,Azerbaijan
the academy of public administration,the academy of public administration,the academy of public administration,dia.edu.az,Azerbaijan
western university,western university,western university,wu.edu.az,Azerbaijan
the college of the bahamas,the college of the bahamas,the college of the bahamas,cob.edu.bs,Bahamas
al ahlia university,al ahlia university,al ahlia university,ahliauniversity.org,Bahrain
ama international university,ama international university,ama international university,amaiu.edu.bh,Bahrain
applied science university,applied science university,applied science university,asu.edu.bh,Bahrain
arab open university,arab open university,arab open university,aou.org.bh,Bahrain
arabian gulf university,arabian gulf university,arabian gulf university,agu.edu.bh,Bahrain
gulf university college,gulf university college,gulf university college,gulfuniversity.net,Bahrain
new york instiute of technology,new york instiute of technology,new york instiute of technology,nyit.edu.bh,Bahrain
rcsi-medical university of bahrain,rcsi-medical university of bahrain,rcsi-medical university of bahrain,rcsi-mub.com,Bahrain
the kingdom university,the kingdom university,the kingdom university,ku.edu.bh,Bahrain
university college bahrain,university college bahrain,university college bahrain,ucb.edu.bh,Bahrain
university of bahrain,university of bahrain,university of bahrain,uob.edu.bh,Bahrain
ahsanullah university of science & technology,ahsanullah university of science & technology,ahsanullah university of science & technology,aust.edu,Bangladesh
american international university bangladesh,american international university bangladesh,american international university - bangladesh,aiub.edu,Bangladesh
asa university bangladesh,asa university bangladesh,asa university bangladesh,asaub.edu.bd,Bangladesh
asian university of bangladesh,asian university of bangladesh,asian university of bangladesh,aub-bd.org,Bangladesh
atish dipankar university,atish dipankar university,atish dipankar university,atishdipankaruniversity.edu.bd,Bangladesh
bangabandhu sheikh mujibur rahman agricultural university,bangabandhu sheikh mujibur rahman agricultural university,bangabandhu sheikh mujibur rahman agricultural university,bsmrau.edu.bd,Bangladesh
bangabandhu sheikh mujibur rahman medical university,bangabandhu sheikh mujibur rahman medical university,bangabandhu sheikh mujibur rahman medical university,bsmmu.edu.bd,Bangladesh
bangladesh agricultural university,bangladesh agricultural university,bangladesh agricultural university,bau.edu.bd,Bangladesh
bangladesh open university,bangladesh open university,bangladesh open university,bou.edu.bd,Bangladesh
bangladesh university,bangladesh university,bangladesh university,bu.edu.bd,Bangladesh
bangladesh university of business & technology,bangladesh university of business & technology,bangladesh university of business & technology,bubt.edu.bd,Bangladesh
bangladesh university of engineering and technology,bangladesh university of engineering and technology,bangladesh university of engineering and technology,buet.ac.bd,Bangladesh
bangladesh university of professionals,bangladesh university of professionals,bangladesh university of professionals,bup.edu.bd,Bangladesh
bangladesh university of textiles,bangladesh university of textiles,bangladesh university of textiles,butex.edu.bd,Bangladesh
begum rokeya university rangpur,begum rokeya university rangpur,begum rokeya university rangpur,brur.ac.bd,Bangladesh
bgc trust university bangladesh,bgc trust university bangladesh,bgc trust university bangladesh,bgctrustbd.org,Bangladesh
brac university,brac university,brac university,bracuniversity.net,Bangladesh
chittagong university of engineering and technology,chittagong university of engineering and technology,chittagong university of engineering and technology,cuet.ac.bd,Bangladesh
city university,city university,city university,cityuniversity.edu.bd,Bangladesh
comilla university,comilla university,comilla university,cou.ac.bd,Bangladesh
daffodil international university,daffodil international university,daffodil international university,daffodilvarsity.edu.bd,Bangladesh
darul ihsan university,darul ihsan university,darul ihsan university,diu.ac.bd,Bangladesh
dhaka international university,dhaka international university,dhaka international university,diu.net.bd,Bangladesh
dhaka university of engineering and technology,dhaka university of engineering and technology,dhaka university of engineering and technology,duet.ac.bd,Bangladesh
east delta university,east delta university,east delta university,eastdelta.edu.bd,Bangladesh
east west university,east west university,east west university,ewubd.edu,Bangladesh
east west university mohakhali,east west university mohakhali,"east-west university, mohakhali",ewubd.edu,Bangladesh
eastern university,eastern university,eastern university,easternuni.edu.bd,Bangladesh
green university of bangladesh,green university of bangladesh,green university of bangladesh,green.edu.bd,Bangladesh
hajee mohammad danesh science and technology university,hajee mohammad danesh science and technology university,hajee mohammad danesh science and technology university,hstu.ac.bd,Bangladesh
ibais university,ibais university,ibais university,ibaisuniv.edu.bd,Bangladesh
independent university bangladesh,independent university bangladesh,independent university bangladesh,iub.edu.bd,Bangladesh
international culture university,international culture university,international culture university,icu-edu.org,Bangladesh
international islamic university chittagong,international islamic university chittagong,international islamic university chittagong,iiuc.ac.bd,Bangladesh
international university of business agriculture and technology,international university of business agriculture and technology,international university of business agriculture and technology,iubat.edu,Bangladesh
islamic university kushtia,islamic university kushtia,islamic university kushtia,iu.ac.bd,Bangladesh
islamic university of technology,islamic university of technology,islamic university of technology,iutoic-dhaka.edu,Bangladesh
jagannath university,jagannath university,jagannath university,jnu.ac.bd,Bangladesh
jahangirnagar university,jahangirnagar university,jahangirnagar university,juniv.edu,Bangladesh
jatiya kabi kazi nazrul islam university,jatiya kabi kazi nazrul islam university,jatiya kabi kazi nazrul islam university,jkkniu.edu.bd,Bangladesh
khulna university,khulna university,khulna university,ku.ac.bd,Bangladesh
